base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,solver,base_seed,seed_scenario,V_demand,AHT_demand,OCC_demand,SHK_demand,Hg_demand,T_demand,week_pattern_demand,p_weekdays_demand,weekday_split_demand,weekday_step_demand,K_demand,ratio_target_demand,pos1_demand,pos2_demand,width1_demand,width2_demand,width_assignment_rule_demand,peak_amplitude_rule_demand,peak_amplitude_ratio_demand,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,base_seed_sched,seed_scenario_sched,workers,ortools_version,hexaly_version,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec
D_0099869b11,D_0099869b11_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0,cp_sat,12345,947182474,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.0,True,7500,4,37,0.952,8.81,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,947182474.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,171.9,0.906,0.9,False,1785.714,167.095,61.381,420.016
D_0099869b11,D_0099869b11_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0,cp_sat,12345,947182474,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,uniform,0.02,2,4.0,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.0,True,7500,4,37,0.952,8.81,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.0,947182474.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,161.55,0.91,0.9,False,1785.714,161.571,55.857,1200.016
D_00be64f53e,D_00be64f53e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,25.0,25.0,equal,equal,2.0,cp_sat,12345,386086982,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,increasing-to-friday,0.02,2,2.0,10.0,28.0,25.0,25.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",12345.0,386086982.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,178.43,0.9,0.9,False,1785.714,178.381,72.667,420.018
D_00be64f53e,D_00be64f53e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,25.0,25.0,equal,equal,2.0,cp_sat,12345,386086982,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,increasing-to-friday,0.02,2,2.0,10.0,28.0,25.0,25.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",12345.0,386086982.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,178.3,0.9,0.9,False,1785.714,178.286,72.571,1200.02
D_01064d9a02,D_01064d9a02_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0,cp_sat,12345,729766816,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,decreasing-to-friday,0.02,2,2.0,10.0,28.0,16.0,16.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.0,729766816.0,1.0,9.15.6755,,22.0,22.0,OPTIMAL,170.77,0.904,0.9,False,1785.714,170.714,233.0,172.817
D_01064d9a02,D_01064d9a02_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0,cp_sat,12345,729766816,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,decreasing-to-friday,0.02,2,2.0,10.0,28.0,16.0,16.0,equal,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,2.0,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.0,729766816.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,120.76,0.932,0.9,False,1785.714,120.714,99.0,1200.026
D_018e23b9bf,D_018e23b9bf_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0,cp_sat,12345,930345690,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,decreasing-to-friday,0.02,2,6.0,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,6.0,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",12345.0,930345690.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,105.59,0.941,0.9,False,1785.714,105.714,84.0,420.012
D_018e23b9bf,D_018e23b9bf_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0,cp_sat,12345,930345690,7500,300.0,0.7,0.2,42.0,0.5,W2,0.85,decreasing-to-friday,0.02,2,6.0,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,6.0,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",12345.0,930345690.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,161.03,0.91,0.9,False,1785.714,161.048,139.333,1200.027
D_01abd8b6d1,D_01abd8b6d1_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0,cp_sat,12345,132218890,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.88,False,7500,9,37,2.143,8.81,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,132218890.0,1.0,9.15.6755,,22.0,21.0,FEASIBLE,151.66,0.915,0.9,False,1785.714,151.762,130.048,420.008
D_01abd8b6d1,D_01abd8b6d1_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0,cp_sat,12345,132218890,7500,300.0,0.7,0.2,42.0,0.5,W1,,,,2,4.0,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,4.0,0.88,False,7500,9,37,2.143,8.81,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",12345.0,132218890.0,1.0,9.15.6755,,22.0,20.0,FEASIBLE,173.12,0.903,0.9,False,1785.714,173.19,67.476,1200.018
D_023d023302,D_023d023302_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0,cp_sat,12345,242204417,7500,300.0,0.7,0.2,42.0,0.5,W2,0.95,increasing-to-friday,0.02,2,6.0,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0,625.0,892.857,1116.071,26.573,27,892.857,21.259,22,6.0,0.76,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",12345.0,242204417.0,1.0,9.15.6755,,22.0,22.0,FEASIBLE,174.59,0.902,0.9,False,1785.714,174.524,236.81,420.009
